"","PC1","PC2","cluster","label"
"cell_1",0.0332734638132363,-0.00441501829802183,"Cluster_1","Tumor"
"cell_2",0.0333708781145334,-0.00109820547467905,"Cluster_1","Tumor"
"cell_3",0.0333708781145332,-0.00109820547467933,"Cluster_1","Tumor"
"cell_4",0.0327014463749749,0.00451614568319308,"Cluster_1","Tumor"
"cell_5",0.0333708781145332,-0.0010982054746802,"Cluster_1","Tumor"
"cell_6",0.0333518699832976,0.000385882630613676,"Cluster_1","Tumor"
"cell_7",0.0333862281941912,-0.00359233744592086,"Cluster_1","Tumor"
"cell_8",0.0336124476268555,-0.00222469716006221,"Cluster_1","Tumor"
"cell_9",0.0333708781145332,-0.0010982054746797,"Cluster_1","Tumor"
"cell_10",0.0332280085325774,-0.00485073485848618,"Cluster_1","Tumor"
"cell_11",0.0325442954557847,0.00567492857218456,"Cluster_1","Tumor"
"cell_12",0.0340343831427825,-0.00422513117613689,"Cluster_1","Tumor"
"cell_13",0.0340343831427825,-0.00422513117613667,"Cluster_1","Tumor"
"cell_14",0.0316881485724428,0.0106054255844515,"Cluster_1","Tumor"
"cell_15",0.0325821881868648,0.00208076248932551,"Cluster_1","Tumor"
"cell_16",0.034516706004332,-0.00614175543926941,"Cluster_1","Tumor"
"cell_17",0.0333708781145332,-0.00109820547467969,"Cluster_1","Tumor"
"cell_18",0.0340343831427825,-0.00422513117613667,"Cluster_1","Tumor"
"cell_19",0.0336132526185116,-0.00149317069566582,"Cluster_1","Tumor"
"cell_20",0.0335070802006674,-0.00113404765798997,"Cluster_1","Tumor"
"cell_21",0.0337597068280708,-0.00269262161687401,"Cluster_1","Tumor"
"cell_22",0.0338931734068795,-0.00314650754442816,"Cluster_1","Tumor"
"cell_23",0.0333708781145332,-0.00109820547467969,"Cluster_1","Tumor"
"cell_24",0.032249796908853,0.00598485838462389,"Cluster_1","Tumor"
"cell_25",0.0330246760454176,0.0011740045406377,"Cluster_1","Tumor"
"cell_26",0.0334621230799926,-0.00194898713194872,"Cluster_1","Tumor"
"cell_27",0.0397870769224521,-0.0152761378233644,"Cluster_1","Tumor"
"cell_28",0.0333708781145332,-0.00109820547467969,"Cluster_1","Tumor"
"cell_29",0.0333708781145332,-0.00109820547467969,"Cluster_1","Tumor"
"cell_30",0.0330221715701888,-0.000275703601238899,"Cluster_1","Tumor"
"cell_31",0.0337597068280708,-0.002692621616874,"Cluster_1","Tumor"
"cell_32",0.0340343831427825,-0.00422513117613667,"Cluster_1","Tumor"
"cell_33",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_34",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_35",0.0314389074729516,0.0190623063202488,"Cluster_1","Tumor"
"cell_36",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_37",0.033178109789815,-0.000474748893871561,"Cluster_1","Tumor"
"cell_38",0.0317415082578482,0.00490701967301905,"Cluster_1","Tumor"
"cell_39",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_40",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_41",0.0317163091769844,0.0082881630879745,"Cluster_1","Tumor"
"cell_42",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_43",0.0341658045269885,-0.00560804675931936,"Cluster_1","Tumor"
"cell_44",0.03252394340896,0.00415190879009422,"Cluster_1","Tumor"
"cell_45",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_46",0.0330006236597144,0.00115935988628828,"Cluster_1","Tumor"
"cell_47",0.0325304498521798,0.0134148784069499,"Cluster_1","Tumor"
"cell_48",0.0348739238042721,-0.0071197374898769,"Cluster_1","Tumor"
"cell_49",0.0344633776012478,-0.00562498097728099,"Cluster_1","Tumor"
"cell_50",0.0340343831427829,-0.00422513117613704,"Cluster_1","Tumor"
"cell_51",0.0330037001269452,0.00406615102526079,"Cluster_1","Tumor"
"cell_52",0.0327404620742522,-0.00123630612905415,"Cluster_1","Tumor"
"cell_53",0.0339280492964395,-0.00172852613766106,"Cluster_1","Tumor"
"cell_54",0.0330712822290519,-0.00162424139164688,"Cluster_1","Tumor"
"cell_55",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_56",0.0322488697029813,0.00451314299165046,"Cluster_1","Tumor"
"cell_57",0.0335849452873088,-0.00114650191971809,"Cluster_1","Tumor"
"cell_58",0.0332345861208029,-0.000589526130817249,"Cluster_1","Tumor"
"cell_59",0.0337259424658232,-0.00681120979638152,"Cluster_1","Tumor"
"cell_60",0.0330146476808441,0.00486071464068574,"Cluster_1","Tumor"
"cell_61",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_62",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_63",0.0339514450142525,-0.0038342654634544,"Cluster_1","Tumor"
"cell_64",0.0331061970695711,-0.00044129930140966,"Cluster_1","Tumor"
"cell_65",0.0319979602293555,0.00848352449517134,"Cluster_1","Tumor"
"cell_66",0.0332346537340614,0.00103369266734631,"Cluster_1","Tumor"
"cell_67",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_68",0.0336612947673371,-0.00232202395455976,"Cluster_1","Tumor"
"cell_69",0.032696423947251,0.00177812146819859,"Cluster_1","Tumor"
"cell_70",0.0340343831427829,-0.00422513117613704,"Cluster_1","Tumor"
"cell_71",0.033264578158135,0.000703802222104026,"Cluster_1","Tumor"
"cell_72",0.0332591536485281,-0.000857364634315837,"Cluster_1","Tumor"
"cell_73",0.0334513001465413,0.00618378217490416,"Cluster_1","Tumor"
"cell_74",0.0328685835580688,0.00175222903856164,"Cluster_1","Tumor"
"cell_75",0.0326083028095315,-0.00418688092888789,"Cluster_1","Tumor"
"cell_76",0.0314452512559153,0.0062455697052773,"Cluster_1","Tumor"
"cell_77",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_78",0.0336204184921678,-0.00281506468637232,"Cluster_1","Tumor"
"cell_79",0.0331146092434039,-0.0115551781850401,"Cluster_1","Tumor"
"cell_80",0.0337134049710774,-0.00258387315719175,"Cluster_1","Tumor"
"cell_81",0.0335547512243252,-0.00251436652585045,"Cluster_1","Tumor"
"cell_82",0.030315505746208,-0.0188618725532496,"Cluster_1","Tumor"
"cell_83",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_84",0.0338880400454936,-0.00360308509167908,"Cluster_1","Tumor"
"cell_85",0.033182184726954,-8.15190608903588e-06,"Cluster_1","Tumor"
